chr1	121619169	126701150
chr2	92300802	94695067
chr3	90804701	96415026
chr4	49705154	55303192
chr5	46684449	50962194
chr6	58286706	61058390
chr7	59612912	63714499
chr8	44215832	46325080
chr9	44951775	47582595
chr10	39633793	41926237
chr11	51023358	54476419
chr12	34593492	37202490
chr13	11155531	17508596
chr14	7445759	12708411
chr15	15415981	17694466
chr16	35834066	37851967
chr17	23433372	27571319
chr18	15641581	21121235
chr19	24570766	29769351
chr20	26383658	31905998
chr21	8180694	11306378
chr22	8489239	15711065
chrX	57819763	60927195
chrY	10565750	10883085
